accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.03,-0.55,-9.68,0.0625,0,0.3125,9.9375,-6.4375,176.0625,0
-1.05,-0.5,-9.7,-0.125,-0.625,0.25,9.9375,-6.4375,176.5,0
-1.01,-0.47,-9.71,0.25,0.0625,0.0625,9.9375,-6.3125,176.5625,0
-1.01,-0.5,-9.75,0.25,0.125,0,9.9375,-6.3125,176.625,0
-0.99,-0.43,-9.81,-0.625,1.0625,0.375,9.9375,-6.3125,176.625,0
-0.99,-0.49,-9.69,2.375,-0.0625,0.0625,9.9375,-6.125,176.375,0
-0.93,-0.54,-9.69,-3.8125,-1.5625,1.0625,10,-6.1875,176.375,0
-1.07,-0.51,-9.77,0.75,-0.3125,0.0625,10,-6.5,176.1875,0
-1.06,-0.46,-9.56,0.375,0.0625,0.4375,10.0625,-6.5,176.1875,0
-1.08,-0.52,-9.71,0.5625,0,0.0625,10,-6.5,176.1875,0
-1.12,-0.51,-9.82,0.4375,-0.625,0.0625,9.9375,-6.375,176.0625,0
-0.98,-0.52,-9.75,2.875,-1.1875,0.3125,9.8125,-5.75,176.0625,0
-0.95,-0.52,-9.68,1.0625,0.3125,-0.75,9.875,-5.9375,176.25,0
-1.01,-0.49,-9.77,0.75,0.5625,-0.125,9.875,-5.875,176.25,0
-1.07,-0.51,-9.7,-1.25,0.4375,-0.1875,9.9375,-5.875,176.25,0
-1.11,-0.48,-9.54,3.875,-1.1875,-0.3125,9.9375,-6.3125,176.3125,0
-1.07,-0.52,-9.89,-2.1875,2.875,-0.3125,9.9375,-5.875,176.375,0
-1.06,-0.45,-9.78,-0.25,1.0625,0,9.9375,-6.0625,176.5,0
-1.05,-0.48,-9.69,0,0.5,0,9.875,-5.9375,176.125,0
-1.08,-0.53,-9.81,-0.1875,-0.125,0.0625,9.875,-5.9375,176.1875,0
-0.99,-0.5,-9.68,2,-1.125,-0.375,9.875,-5.75,176.1875,0
-1.08,-0.49,-9.75,-0.1875,-0.125,0.125,9.875,-5.875,176,0
-1.04,-0.48,-9.84,-0.125,-0.0625,0.0625,9.875,-5.875,176,0
-1.11,-0.45,-9.48,-3.8125,0.5625,0.5625,9.8125,-5.875,176.125,0
-1.91,0.45,-8.28,-31.625,17.375,6.875,11.3125,-11.3125,177.9375,0
-1.81,0.1,-9.94,-0.4375,0.375,3.3125,10.9375,-8.375,177.6875,-1
-1.83,-0.2,-10.74,-9.375,-2.625,2.0625,10.8125,-7.75,179.1875,-1
-1.49,-0.56,-9.65,1.3125,2,-0.5625,11.0625,-8.125,176.5625,-1
-1.35,-0.54,-9.63,0.8125,1.625,-0.0625,11.0625,-7.5,176.3125,-1
-1.3,-0.48,-9.91,-2.0625,-2.5625,0.1875,11.0625,-7.375,176.625,-1
-1.48,-0.44,-9.75,-1.0625,0.6875,-0.6875,11.1875,-8.375,176.75,-1
-1.44,-0.47,-9.7,-0.125,0.125,-0.0625,11.1875,-8.375,176.8125,-1
-1.49,-0.52,-9.63,1.6875,1,-0.4375,11.1875,-8.3125,176.625,-1
-1.48,-0.48,-9.86,0.125,0.125,-0.125,11.1875,-8.0625,176.5625,-1
-1.44,-0.56,-9.63,-1.5,0.4375,-0.1875,11.1875,-8.0625,176.4375,-1
-1.4,-0.49,-9.77,0,-0.0625,-0.0625,11.25,-8.0625,176.4375,-1
-1.35,-0.51,-9.78,-0.25,0.375,-0.1875,11.25,-8.0625,176.4375,-1
-1.41,-0.5,-9.73,0.4375,0.5,-0.25,11.3125,-8.375,176.4375,-1
-1.43,-0.55,-9.69,-0.3125,0.25,0,11.3125,-8.375,176.4375,-1
-1.44,-0.54,-9.72,1,-0.5625,0.375,11.375,-8.5625,176.375,-1
-1.37,-0.54,-9.67,-0.1875,-0.3125,0.25,11.375,-8.375,176.3125,-1
-1.36,-0.53,-9.69,-0.0625,0.3125,-0.0625,11.375,-8.375,176.3125,-1
-1.36,-0.56,-9.68,0.1875,-0.0625,0,11.375,-8.375,176.3125,-1
-1.35,-0.53,-9.85,0.3125,-0.125,-0.0625,11.375,-8.375,176.3125,-1
-1.36,-0.53,-9.7,0.1875,0,-0.1875,11.3125,-8.375,176.4375,-1
-1.35,-0.54,-9.66,-0.4375,-0.1875,0.125,11.3125,-8.375,176.4375,-1
-1.37,-0.53,-9.73,0.5,0.125,0.0625,11.3125,-8.375,176.4375,-1
-1.4,-0.53,-9.84,-1.5,0.6875,-0.375,11.375,-8.5,176.375,-1
-1.36,-0.54,-9.68,0.4375,0.125,-0.125,11.375,-8.4375,176.375,-1
-1.34,-0.57,-9.64,0.3125,0.125,-0.0625,11.3125,-8.0625,176.375,-1
-1.29,-0.54,-9.78,-0.5,0.3125,-0.25,11.3125,-8.25,176.375,-1
-1.36,-0.52,-9.7,-0.3125,-0.125,-0.0625,11.3125,-8.25,176.3125,-1
-1.33,-0.55,-9.7,-0.5,0,0,11.3125,-8.25,176.3125,-1
-1.3,-0.52,-9.7,-0.5,-0.5,0.1875,11.3125,-8.25,176.3125,-1
-1.3,-0.54,-9.75,-0.0625,0,0,11.3125,-8.25,176.3125,-1
-1.29,-0.55,-9.65,0.5,1.1875,-0.375,11.3125,-8.1875,176.25,-1
-1.3,-0.56,-9.73,-0.5625,-0.3125,0.125,11.3125,-8.25,176.25,-1
-1.28,-0.56,-9.77,-0.25,0.125,0,11.3125,-8.3125,176.25,-1
-1.25,-0.55,-9.83,-1.3125,-1.0625,0.1875,11.3125,-8.375,176.3125,-1
-1.35,-0.52,-9.68,-0.0625,0.1875,-0.0625,11.3125,-8.5,176.375,-1
-1.31,-0.53,-9.71,-1.25,2.375,-1,11.375,-8.625,176.3125,-1
-1.41,-0.56,-9.73,1.375,0.9375,-0.0625,11.4375,-8.4375,176.1875,-1
-1.37,-0.59,-9.42,0.5,-2.125,0.375,11.5,-8.375,176.1875,-1
-1.28,-0.56,-9.6,1.875,-1.875,0.6875,11.375,-8.125,176.0625,-1
-1.24,-0.59,-9.75,1.6875,1.1875,-0.0625,11.4375,-7.8125,176,-1
-1.32,-0.53,-9.76,-0.4375,-0.625,0.25,11.4375,-7.9375,176,-1
-1.33,-0.5,-9.73,0.0625,-0.4375,0,11.4375,-7.875,176,-1
